/home/ubuntu/desktop/learning3d/asm3/main.py:356: UserWarning: 
The version_base parameter is not specified.
Please specify a compatability version level, or None.
Will assume defaults for version 1.1
  @hydra.main(config_path="./configs", config_name="sphere")
/home/ubuntu/.conda/envs/l3d/lib/python3.9/site-packages/hydra/_internal/hydra.py:119: UserWarning: Future Hydra versions will no longer change working directory at job runtime by default.
See https://hydra.cc/docs/1.2/upgrades/1.1_to_1.2/changes_to_job_working_dir/ for more information.
  ret = run_job(
/home/ubuntu/.conda/envs/l3d/lib/python3.9/site-packages/torch/nn/functional.py:3060: UserWarning: Default upsampling behavior when mode=bilinear is changed to align_corners=False since 0.4.0. Please specify align_corners=True if the old behavior is desired. See the documentation of nn.Upsample for details.
  warnings.warn("Default upsampling behavior when mode={} is changed "
{'type': 'nerf', 'n_harmonic_functions_xyz': 6, 'n_harmonic_functions_dir': 2, 'n_hidden_neurons_xyz': 128, 'n_hidden_neurons_dir': 64, 'density_noise_std': 0.0, 'n_layers_xyz': 6, 'append_xyz': [3]}
Loading dataset lego, image size=[128, 128] ...
Rescaling dataset (factor=0.16)

0it [00:00, ?it/s]
Epoch: 0000, Loss: 0.099325: : 0it [00:03, ?it/s]
Epoch: 0000, Loss: 0.099325: : 0it [00:03, ?it/s]
Epoch: 0000, Loss: 0.099325: : 1it [00:03,  3.86s/it]
Epoch: 0000, Loss: 0.083910: : 1it [00:03,  3.86s/it]
Epoch: 0000, Loss: 0.083910: : 1it [00:03,  3.86s/it]
Epoch: 0000, Loss: 0.120911: : 1it [00:03,  3.86s/it]
Epoch: 0000, Loss: 0.120911: : 1it [00:03,  3.86s/it]
Epoch: 0000, Loss: 0.120911: : 3it [00:03,  1.05s/it]
Epoch: 0000, Loss: 0.084344: : 3it [00:04,  1.05s/it]
Epoch: 0000, Loss: 0.084344: : 3it [00:04,  1.05s/it]
Epoch: 0000, Loss: 0.161158: : 3it [00:04,  1.05s/it]
Epoch: 0000, Loss: 0.161158: : 3it [00:04,  1.05s/it]
Epoch: 0000, Loss: 0.161158: : 5it [00:04,  1.83it/s]
Epoch: 0000, Loss: 0.054006: : 5it [00:04,  1.83it/s]
Epoch: 0000, Loss: 0.054006: : 5it [00:04,  1.83it/s]
Epoch: 0000, Loss: 0.033118: : 5it [00:04,  1.83it/s]
Epoch: 0000, Loss: 0.033118: : 5it [00:04,  1.83it/s]
Epoch: 0000, Loss: 0.033118: : 7it [00:04,  2.89it/s]
Epoch: 0000, Loss: 0.027442: : 7it [00:04,  2.89it/s]
Epoch: 0000, Loss: 0.027442: : 7it [00:04,  2.89it/s]
Epoch: 0000, Loss: 0.162192: : 7it [00:04,  2.89it/s]
Epoch: 0000, Loss: 0.162192: : 7it [00:04,  2.89it/s]
Epoch: 0000, Loss: 0.162192: : 9it [00:04,  4.16it/s]
Epoch: 0000, Loss: 0.109676: : 9it [00:04,  4.16it/s]
Epoch: 0000, Loss: 0.109676: : 9it [00:04,  4.16it/s]
Epoch: 0000, Loss: 0.083299: : 9it [00:04,  4.16it/s]
Epoch: 0000, Loss: 0.083299: : 9it [00:04,  4.16it/s]
Epoch: 0000, Loss: 0.083299: : 11it [00:04,  5.61it/s]
Epoch: 0000, Loss: 0.071543: : 11it [00:04,  5.61it/s]
Epoch: 0000, Loss: 0.071543: : 11it [00:04,  5.61it/s]
Epoch: 0000, Loss: 0.112938: : 11it [00:04,  5.61it/s]
Epoch: 0000, Loss: 0.112938: : 11it [00:04,  5.61it/s]
Epoch: 0000, Loss: 0.112938: : 13it [00:04,  7.15it/s]
Epoch: 0000, Loss: 0.027803: : 13it [00:04,  7.15it/s]
Epoch: 0000, Loss: 0.027803: : 13it [00:04,  7.15it/s]
Epoch: 0000, Loss: 0.173718: : 13it [00:04,  7.15it/s]
Epoch: 0000, Loss: 0.173718: : 13it [00:04,  7.15it/s]
Epoch: 0000, Loss: 0.173718: : 15it [00:04,  8.72it/s]
Epoch: 0000, Loss: 0.034305: : 15it [00:04,  8.72it/s]
Epoch: 0000, Loss: 0.034305: : 15it [00:04,  8.72it/s]
Epoch: 0000, Loss: 0.079260: : 15it [00:04,  8.72it/s]
Epoch: 0000, Loss: 0.079260: : 15it [00:04,  8.72it/s]
Epoch: 0000, Loss: 0.079260: : 17it [00:04, 10.20it/s]
Epoch: 0000, Loss: 0.036510: : 17it [00:04, 10.20it/s]
Epoch: 0000, Loss: 0.036510: : 17it [00:04, 10.20it/s]
Epoch: 0000, Loss: 0.109639: : 17it [00:05, 10.20it/s]
Epoch: 0000, Loss: 0.109639: : 17it [00:05, 10.20it/s]
Epoch: 0000, Loss: 0.109639: : 19it [00:05, 11.52it/s]
Epoch: 0000, Loss: 0.074341: : 19it [00:05, 11.52it/s]
Epoch: 0000, Loss: 0.074341: : 19it [00:05, 11.52it/s]
Epoch: 0000, Loss: 0.153137: : 19it [00:05, 11.52it/s]
Epoch: 0000, Loss: 0.153137: : 19it [00:05, 11.52it/s]
Epoch: 0000, Loss: 0.153137: : 21it [00:05, 12.66it/s]
Epoch: 0000, Loss: 0.146440: : 21it [00:05, 12.66it/s]
Epoch: 0000, Loss: 0.146440: : 21it [00:05, 12.66it/s]
Epoch: 0000, Loss: 0.090502: : 21it [00:05, 12.66it/s]
Epoch: 0000, Loss: 0.090502: : 21it [00:05, 12.66it/s]
Epoch: 0000, Loss: 0.090502: : 23it [00:05, 13.41it/s]
Epoch: 0000, Loss: 0.144448: : 23it [00:05, 13.41it/s]
Epoch: 0000, Loss: 0.144448: : 23it [00:05, 13.41it/s]
Epoch: 0000, Loss: 0.071981: : 23it [00:05, 13.41it/s]
Epoch: 0000, Loss: 0.071981: : 23it [00:05, 13.41it/s]
Epoch: 0000, Loss: 0.071981: : 25it [00:05, 14.03it/s]
Epoch: 0000, Loss: 0.091137: : 25it [00:05, 14.03it/s]
Epoch: 0000, Loss: 0.091137: : 25it [00:05, 14.03it/s]
Epoch: 0000, Loss: 0.145414: : 25it [00:05, 14.03it/s]
Epoch: 0000, Loss: 0.145414: : 25it [00:05, 14.03it/s]
Epoch: 0000, Loss: 0.145414: : 27it [00:05, 14.35it/s]
Epoch: 0000, Loss: 0.164497: : 27it [00:05, 14.35it/s]
Epoch: 0000, Loss: 0.164497: : 27it [00:05, 14.35it/s]
Epoch: 0000, Loss: 0.030033: : 27it [00:05, 14.35it/s]
Epoch: 0000, Loss: 0.030033: : 27it [00:05, 14.35it/s]
Epoch: 0000, Loss: 0.030033: : 29it [00:05, 14.49it/s]
Epoch: 0000, Loss: 0.047415: : 29it [00:05, 14.49it/s]
Epoch: 0000, Loss: 0.047415: : 29it [00:05, 14.49it/s]
Epoch: 0000, Loss: 0.082734: : 29it [00:05, 14.49it/s]
Epoch: 0000, Loss: 0.082734: : 29it [00:05, 14.49it/s]
Epoch: 0000, Loss: 0.082734: : 31it [00:05, 14.85it/s]
Epoch: 0000, Loss: 0.118419: : 31it [00:05, 14.85it/s]
Epoch: 0000, Loss: 0.118419: : 31it [00:05, 14.85it/s]
Epoch: 0000, Loss: 0.111228: : 31it [00:05, 14.85it/s]
Epoch: 0000, Loss: 0.111228: : 31it [00:05, 14.85it/s]
Epoch: 0000, Loss: 0.111228: : 33it [00:05, 15.13it/s]
Epoch: 0000, Loss: 0.133392: : 33it [00:06, 15.13it/s]
Epoch: 0000, Loss: 0.133392: : 33it [00:06, 15.13it/s]
Epoch: 0000, Loss: 0.082941: : 33it [00:06, 15.13it/s]
Epoch: 0000, Loss: 0.082941: : 33it [00:06, 15.13it/s]
Epoch: 0000, Loss: 0.082941: : 35it [00:06, 15.39it/s]
Epoch: 0000, Loss: 0.092795: : 35it [00:06, 15.39it/s]
Epoch: 0000, Loss: 0.092795: : 35it [00:06, 15.39it/s]
Epoch: 0000, Loss: 0.045471: : 35it [00:06, 15.39it/s]
Epoch: 0000, Loss: 0.045471: : 35it [00:06, 15.39it/s]
Epoch: 0000, Loss: 0.045471: : 37it [00:06, 15.71it/s]
Epoch: 0000, Loss: 0.047628: : 37it [00:06, 15.71it/s]
Epoch: 0000, Loss: 0.047628: : 37it [00:06, 15.71it/s]
Epoch: 0000, Loss: 0.053653: : 37it [00:06, 15.71it/s]
Epoch: 0000, Loss: 0.053653: : 37it [00:06, 15.71it/s]
Epoch: 0000, Loss: 0.053653: : 39it [00:06, 16.00it/s]
Epoch: 0000, Loss: 0.027995: : 39it [00:06, 16.00it/s]
Epoch: 0000, Loss: 0.027995: : 39it [00:06, 16.00it/s]
Epoch: 0000, Loss: 0.083492: : 39it [00:06, 16.00it/s]
Epoch: 0000, Loss: 0.083492: : 39it [00:06, 16.00it/s]
Epoch: 0000, Loss: 0.083492: : 41it [00:06, 15.68it/s]
Epoch: 0000, Loss: 0.059395: : 41it [00:06, 15.68it/s]
Epoch: 0000, Loss: 0.059395: : 41it [00:06, 15.68it/s]
Epoch: 0000, Loss: 0.135424: : 41it [00:06, 15.68it/s]
Epoch: 0000, Loss: 0.135424: : 41it [00:06, 15.68it/s]
Epoch: 0000, Loss: 0.135424: : 43it [00:06, 15.38it/s]
Epoch: 0000, Loss: 0.135087: : 43it [00:06, 15.38it/s]
Epoch: 0000, Loss: 0.135087: : 43it [00:06, 15.38it/s]
Epoch: 0000, Loss: 0.085015: : 43it [00:06, 15.38it/s]
Epoch: 0000, Loss: 0.085015: : 43it [00:06, 15.38it/s]
Epoch: 0000, Loss: 0.085015: : 45it [00:06, 15.31it/s]
Epoch: 0000, Loss: 0.121930: : 45it [00:06, 15.31it/s]
Epoch: 0000, Loss: 0.121930: : 45it [00:06, 15.31it/s]
Epoch: 0000, Loss: 0.069416: : 45it [00:06, 15.31it/s]
Epoch: 0000, Loss: 0.069416: : 45it [00:06, 15.31it/s]
Epoch: 0000, Loss: 0.069416: : 47it [00:06, 15.58it/s]
Epoch: 0000, Loss: 0.147365: : 47it [00:06, 15.58it/s]
Epoch: 0000, Loss: 0.147365: : 47it [00:06, 15.58it/s]
Epoch: 0000, Loss: 0.075747: : 47it [00:06, 15.58it/s]
Epoch: 0000, Loss: 0.075747: : 47it [00:06, 15.58it/s]
Epoch: 0000, Loss: 0.075747: : 49it [00:06, 15.55it/s]
Epoch: 0000, Loss: 0.151442: : 49it [00:07, 15.55it/s]
Epoch: 0000, Loss: 0.151442: : 49it [00:07, 15.55it/s]
Epoch: 0000, Loss: 0.030794: : 49it [00:07, 15.55it/s]
Epoch: 0000, Loss: 0.030794: : 49it [00:07, 15.55it/s]
